ID,Description,Source
10,nan,
14,nan,
2,"There is a possibly related stem rc:ənap, reflected in lg:arara/lg:ikpeng obj:eŋap, lg:apalai obj:onaʔ, lg:yukpa obj:enap.
None of the reflexes show obj:t-.",
9,Potential partial cognate in lg:apalai: obj:iʔpa(ʔ) 'to wash' (src:camargo2002lexico[45]).,
5,nan,
1,"No cognates found for lg:waimiri, lg:ingariko, and lg:arara.
src:courtz2008carib[253] gives an lg:apalai cognate obj:eʔ, which src:camargo2002lexico[37] translates as 'ter flatulência'.",
6,"src:courtz2008carib[309] gives Pemongan cognates obj:kɨ(nɨ), which I was unable to find in other sources. Form has to be reconstructed as rc:t-ɨkɨ, rather than rc:tɨ-kɨ.",
11,nan,
3,nan,
7,Parukotoan has obj:arʲma 'to throw away'.,
8,"src:courtz2008carib[351] gives lg:apalai obj:potɨ and lg:kapon obj:pətɨ, which I was unable to find.",
4,"(to light by blowing). lg:wayana has obj:uro, but only found in unpublished wordlist.",
12,Seems to be exclusive to Parukotoan.,
15,Only lg:kaxui.,
17,src:courtz2008carib[324] gives lg:kapon obj:nəmə.,
40,nan,
16,nan,
13,nan,
32,nan,
38,nan,
21,nan,
22,"Has form obj:eɲe with obj:ʃ- in lg:hixka, also found in lg:arara and lg:kaxui, with obj:t͡ʃ-. Likely not a t-adding verb, but a different phenomenon.",
23,src:courtz2008carib[226] also mentions lg:pemon and lg:kapon obj:amɨ.,
18,"Cultural background: lg:waiwai speakers do not use blowguns, but bow and arrow (src:howard2001wrought[75]), same for lg:hixka (src:hixkaryanaderby1985[xvi]), lg:trio, lg:wayana (src:wayanatavares2005[vi]), lg:apalai. lg:kalina has obj:pokopau and obj:tamakusi 'blowgun' (src:courtz2008carib[347, 377]), but no corresponding verb. lg:panare speakers use blowguns (src:henley1982panare[44]), but no cognate verb found. lg:pemon cognate obj:pə (src:swiggers2010gramatica[219]).",
19,"Only lg:maqui, also lg:pemon",
37,nan,
28,Unclear if related to Proto-Pemongan rc:kupə 'to make' (src:gildea2007greenberg).,
30,Only lg:arara.,
31,Only lg:arara.,
36,Only lg:arara.,
39,Only lg:ikpeng.,
26,Only lg:ikpeng.,
35,Only lg:kuikuro.,
24,Only lg:kuikuro.,
41,Only lg:kaxui.,
